StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,uninsured,had_checkup,dental_visit,lacks_transportation,food_insecurity,housing_insecurity,diabetes,high_blood_pressure,heart_disease,obesity,poor_health,no_dental,access_barrier_score,disease_burden_score,barrier_quartile
OK,Oklahoma,Haskell,40061,11832,9053,12.1,76.3,47.1,11.9,22.7,16.7,12.4,38.2,7.2,42.3,24.1,52.9,0.7581035643449461,0.9429653075767023,most barriers
IL,Illinois,Lake,17097,708760,546551,9.7,75.1,63.6,6.8,13.0,11.6,9.8,29.4,4.6,32.9,15.4,36.4,-0.59379339207608,-1.1015248323697144,some
KS,Kansas,Atchison,20005,16016,12523,9.3,73.6,60.7,7.7,13.8,12.2,10.0,32.6,5.8,38.8,18.6,39.3,-0.45198547892015706,-0.25100159485695345,some
AK,Alaska,Anchorage,2020,286075,219385,9.5,70.7,64.2,8.3,12.8,12.0,8.8,31.4,5.1,35.0,17.5,35.8,-0.4997075479123553,-0.7963139353505204,some
OK,Oklahoma,Seminole,40133,23565,17848,12.9,77.0,48.2,13.7,26.7,19.2,13.7,40.1,7.8,45.4,26.4,51.8,1.1648708872696654,1.525086053651206,most barriers
WV,West Virginia,Mineral,54057,26867,21526,7.8,77.8,55.7,8.2,13.9,12.1,11.7,36.2,6.1,39.4,21.6,44.3,-0.42806136218055846,0.2855240026650462,some
MN,Minnesota,Blue Earth,27013,70006,56268,8.2,73.5,59.2,8.3,13.4,10.6,10.0,30.8,5.5,36.8,16.4,40.8,-0.5426888536216937,-0.5869523768565051,some
NE,Nebraska,Buffalo,31019,50697,39269,9.4,74.1,57.9,6.7,12.3,9.6,9.1,31.1,5.3,38.9,15.2,42.1,-0.6387676497111091,-0.6661520143316885,some
VA,Virginia,Albemarle,51003,115676,93582,6.7,77.7,72.3,5.5,8.8,8.3,8.7,28.5,4.5,29.0,13.3,27.700000000000003,-1.3188046983076436,-1.5261313074312206,fewest barriers
MO,Missouri,Shelby,29205,5931,4506,10.6,74.8,53.9,10.5,17.7,14.5,11.5,35.6,6.9,40.6,23.8,46.1,0.17995385372526376,0.5926956620852002,many
MO,Missouri,Carroll,29033,8391,6542,9.9,75.4,56.3,9.0,15.1,13.0,10.6,32.9,6.1,38.8,21.4,43.7,-0.16676353105884129,0.015243806409608884,many
IA,Iowa,Chickasaw,19037,11658,8978,8.3,73.4,68.1,7.0,12.3,10.1,9.5,31.2,5.5,39.6,17.5,31.900000000000006,-0.8400495258288354,-0.442743781790928,fewest barriers
NY,New York,Seneca,36099,32349,25660,7.6,78.1,60.9,8.8,16.2,13.9,9.1,30.6,5.8,34.8,18.3,39.1,-0.3283029177415692,-0.6022258387965871,some
MN,Minnesota,Faribault,27043,13873,10857,9.9,71.4,67.1,8.8,14.8,11.9,9.7,29.3,5.8,37.8,18.0,32.900000000000006,-0.42820236103891796,-0.48594311225624265,some
NE,Nebraska,Nance,31125,3274,2505,9.4,72.8,61.1,7.6,14.0,10.5,9.8,31.1,5.8,40.7,17.0,38.9,-0.5328140235589428,-0.32049948345291873,some
OH,Ohio,Mahoning,39099,225596,179979,9.6,76.3,59.6,9.4,17.2,14.1,11.8,34.1,6.2,38.9,20.0,40.4,-0.09412923522690167,0.13760514858519485,many
MS,Mississippi,Chickasaw,28017,16866,12706,14.5,79.4,6.6,15.4,29.1,22.3,15.7,43.5,7.0,43.8,28.5,93.4,2.3264170273541307,1.670483736862634,most barriers
IL,Illinois,Hamilton,17065,7911,6144,8.8,75.2,59.5,8.9,16.6,13.2,10.7,33.0,6.2,40.1,20.5,40.5,-0.240413038674889,0.06923106057294734,some
MS,Mississippi,Sunflower,28133,24468,19260,16.5,82.0,6.3,19.2,37.2,27.7,18.3,49.5,7.6,48.9,31.9,93.7,3.2445789961516924,2.675641417101712,most barriers
MN,Minnesota,Norman,27107,6329,4857,9.0,71.2,63.2,8.3,13.7,11.0,9.6,30.1,5.6,35.8,17.6,36.8,-0.531859613345777,-0.6163258618924286,some
AR,Arkansas,Grant,5053,18383,14319,9.7,75.7,53.9,7.9,14.3,11.9,9.8,35.2,6.0,36.6,20.4,46.1,-0.2931096080066214,-0.12550464018170154,some
VA,Virginia,Pittsylvania,51143,59571,49130,11.0,77.3,56.1,10.6,19.6,15.3,13.0,37.6,6.5,41.6,23.2,43.9,0.2745382435107166,0.726356688507329,many
NM,New Mexico,Santa Fe,35049,155956,131762,14.0,66.0,67.9,8.7,15.9,14.0,9.3,25.3,5.0,25.9,18.4,32.099999999999994,-0.052590201857305695,-1.3879426622308428,many
ME,Maine,Sagadahoc,23023,37513,30865,7.9,78.6,63.7,7.5,10.2,9.8,8.0,27.7,5.3,29.5,15.4,36.3,-0.8378527395133751,-1.3066292136337758,fewest barriers
LA,Louisiana,Tensas,22107,3764,2991,12.4,81.2,41.1,19.0,38.3,27.9,18.1,47.4,8.1,49.2,33.2,58.9,2.4154359048474374,2.765988350216166,most barriers
WI,Wisconsin,Buffalo,55011,13419,10742,8.4,74.6,68.0,7.0,12.3,10.1,9.4,29.0,5.5,39.4,17.0,32.0,-0.8319476681715606,-0.574659303947258,fewest barriers
IN,Indiana,Perry,18123,19209,15282,8.9,76.9,60.0,7.7,14.1,11.3,11.1,35.8,6.2,37.5,20.1,40.0,-0.4979087591626733,0.08997164211618898,some
SC,South Carolina,Greenwood,45047,69460,54014,13.2,79.9,57.8,10.7,22.6,17.1,13.0,36.4,5.9,37.5,21.5,42.2,0.5756646759604082,0.27194143009169774,most barriers
AZ,Arizona,Graham,4009,39525,29109,16.0,70.2,54.5,11.1,21.2,16.4,10.9,31.3,6.0,36.3,22.9,45.5,0.760275665179457,-0.09124142394263737,most barriers
SC,South Carolina,Edgefield,45037,27607,23040,15.5,78.4,55.2,11.0,22.8,17.3,13.6,35.7,6.2,39.7,22.4,44.8,0.8041206363056828,0.5068274440393614,most barriers
