StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,uninsured,had_checkup,dental_visit,lacks_transportation,food_insecurity,housing_insecurity,diabetes,high_blood_pressure,heart_disease,obesity,poor_health,depression,smoking,no_exercise
OK,Oklahoma,Haskell,40061,11832,9053,12.1,76.3,47.1,11.9,22.7,16.7,12.4,38.2,7.2,42.3,24.1,26.8,21.3,34.4
IL,Illinois,Lake,17097,708760,546551,9.7,75.1,63.6,6.8,13.0,11.6,9.8,29.4,4.6,32.9,15.4,18.5,10.5,19.4
KS,Kansas,Atchison,20005,16016,12523,9.3,73.6,60.7,7.7,13.8,12.2,10.0,32.6,5.8,38.8,18.6,22.3,17.0,27.4
AK,Alaska,Anchorage,2020,286075,219385,9.5,70.7,64.2,8.3,12.8,12.0,8.8,31.4,5.1,35.0,17.5,21.2,14.1,20.0
OK,Oklahoma,Seminole,40133,23565,17848,12.9,77.0,48.2,13.7,26.7,19.2,13.7,40.1,7.8,45.4,26.4,28.7,23.3,36.7
WV,West Virginia,Mineral,54057,26867,21526,7.8,77.8,55.7,8.2,13.9,12.1,11.7,36.2,6.1,39.4,21.6,32.3,18.3,28.8
MN,Minnesota,Blue Earth,27013,70006,56268,8.2,73.5,59.2,8.3,13.4,10.6,10.0,30.8,5.5,36.8,16.4,26.3,15.6,24.1
NE,Nebraska,Buffalo,31019,50697,39269,9.4,74.1,57.9,6.7,12.3,9.6,9.1,31.1,5.3,38.9,15.2,18.3,13.3,23.7
VA,Virginia,Albemarle,51003,115676,93582,6.7,77.7,72.3,5.5,8.8,8.3,8.7,28.5,4.5,29.0,13.3,21.8,9.6,18.6
MO,Missouri,Shelby,29205,5931,4506,10.6,74.8,53.9,10.5,17.7,14.5,11.5,35.6,6.9,40.6,23.8,27.1,21.4,32.7
MO,Missouri,Carroll,29033,8391,6542,9.9,75.4,56.3,9.0,15.1,13.0,10.6,32.9,6.1,38.8,21.4,26.7,19.1,31.3
IA,Iowa,Chickasaw,19037,11658,8978,8.3,73.4,68.1,7.0,12.3,10.1,9.5,31.2,5.5,39.6,17.5,20.6,16.1,25.3
NY,New York,Seneca,36099,32349,25660,7.6,78.1,60.9,8.8,16.2,13.9,9.1,30.6,5.8,34.8,18.3,22.4,15.7,26.7
MN,Minnesota,Faribault,27043,13873,10857,9.9,71.4,67.1,8.8,14.8,11.9,9.7,29.3,5.8,37.8,18.0,25.5,17.1,26.7
NE,Nebraska,Nance,31125,3274,2505,9.4,72.8,61.1,7.6,14.0,10.5,9.8,31.1,5.8,40.7,17.0,19.0,16.7,26.8
OH,Ohio,Mahoning,39099,225596,179979,9.6,76.3,59.6,9.4,17.2,14.1,11.8,34.1,6.2,38.9,20.0,25.9,17.6,26.5
MS,Mississippi,Chickasaw,28017,16866,12706,14.5,79.4,6.6,15.4,29.1,22.3,15.7,43.5,7.0,43.8,28.5,19.9,20.6,37.5
IL,Illinois,Hamilton,17065,7911,6144,8.8,75.2,59.5,8.9,16.6,13.2,10.7,33.0,6.2,40.1,20.5,25.1,17.6,24.8
MS,Mississippi,Sunflower,28133,24468,19260,16.5,82.0,6.3,19.2,37.2,27.7,18.3,49.5,7.6,48.9,31.9,17.2,21.9,41.5
MN,Minnesota,Norman,27107,6329,4857,9.0,71.2,63.2,8.3,13.7,11.0,9.6,30.1,5.6,35.8,17.6,25.6,16.4,24.8
AR,Arkansas,Grant,5053,18383,14319,9.7,75.7,53.9,7.9,14.3,11.9,9.8,35.2,6.0,36.6,20.4,26.0,15.7,28.0
VA,Virginia,Pittsylvania,51143,59571,49130,11.0,77.3,56.1,10.6,19.6,15.3,13.0,37.6,6.5,41.6,23.2,24.8,18.8,30.6
NM,New Mexico,Santa Fe,35049,155956,131762,14.0,66.0,67.9,8.7,15.9,14.0,9.3,25.3,5.0,25.9,18.4,23.4,10.4,19.8
ME,Maine,Sagadahoc,23023,37513,30865,7.9,78.6,63.7,7.5,10.2,9.8,8.0,27.7,5.3,29.5,15.4,29.2,14.3,20.2
LA,Louisiana,Tensas,22107,3764,2991,12.4,81.2,41.1,19.0,38.3,27.9,18.1,47.4,8.1,49.2,33.2,27.1,24.5,39.8
WI,Wisconsin,Buffalo,55011,13419,10742,8.4,74.6,68.0,7.0,12.3,10.1,9.4,29.0,5.5,39.4,17.0,25.4,15.4,27.5
IN,Indiana,Perry,18123,19209,15282,8.9,76.9,60.0,7.7,14.1,11.3,11.1,35.8,6.2,37.5,20.1,26.1,18.6,24.5
SC,South Carolina,Greenwood,45047,69460,54014,13.2,79.9,57.8,10.7,22.6,17.1,13.0,36.4,5.9,37.5,21.5,24.6,15.7,27.3
AZ,Arizona,Graham,4009,39525,29109,16.0,70.2,54.5,11.1,21.2,16.4,10.9,31.3,6.0,36.3,22.9,20.4,15.5,25.5
SC,South Carolina,Edgefield,45037,27607,23040,15.5,78.4,55.2,11.0,22.8,17.3,13.6,35.7,6.2,39.7,22.4,21.3,16.4,27.7
WV,West Virginia,Hardy,54031,14251,11484,10.6,78.3,49.4,10.7,19.7,15.4,14.2,40.0,7.2,41.5,26.4,32.0,22.1,33.5
OH,Ohio,Pickaway,39129,61086,47959,8.8,77.1,61.9,7.8,14.1,11.7,11.1,35.8,6.2,39.6,19.2,27.4,18.0,28.5
OH,Ohio,Wood,39173,132650,106092,7.4,78.6,66.4,6.7,11.7,10.0,10.2,32.3,5.6,38.9,16.5,27.8,13.9,23.0
MS,Mississippi,Noxubee,28103,9914,7406,15.7,81.4,6.5,19.1,37.3,28.2,18.0,47.7,7.3,46.5,31.5,18.7,21.9,40.6
ND,North Dakota,Rolette,38079,11728,7935,11.2,73.3,46.9,17.7,31.1,22.5,16.5,38.3,7.8,50.2,29.4,22.2,26.2,34.3
MT,Montana,Park,30067,17903,14881,8.7,68.3,63.8,7.2,10.9,9.2,7.9,27.3,5.2,30.0,16.3,24.2,13.7,20.4
UT,Utah,Beaver,49001,7233,5146,10.8,69.5,67.6,6.9,12.2,10.3,8.9,27.7,5.1,29.0,16.2,25.7,9.7,19.1
OH,Ohio,Geauga,39055,95407,74443,6.9,77.1,66.0,5.9,9.9,8.9,9.3,30.3,5.2,32.7,14.8,25.1,13.3,21.2
NH,New Hampshire,Carroll,33003,52448,44871,6.9,73.5,65.2,5.9,9.6,8.9,7.0,25.2,4.8,30.5,12.9,24.1,11.2,18.0
ND,North Dakota,Billings,38007,1034,812,7.6,72.9,65.7,6.4,11.2,9.2,9.2,30.8,5.6,36.4,16.0,20.3,14.0,22.7
GA,Georgia,Long,13183,19594,14123,16.3,76.9,53.5,11.1,21.1,18.0,13.0,37.5,6.0,37.9,22.6,20.8,16.8,30.3
MO,Missouri,Oregon,29149,8720,6668,11.6,75.3,48.9,11.8,20.5,16.2,12.5,36.1,7.3,41.2,26.2,27.9,23.6,34.4
NE,Nebraska,Richardson,31147,7689,6032,9.5,71.6,56.6,7.4,13.3,10.3,10.2,32.6,5.6,45.6,16.9,19.5,16.6,28.7
VA,Virginia,Madison,51113,14128,11351,9.1,76.4,66.0,7.4,12.7,10.8,10.2,31.9,5.4,37.7,17.9,25.2,14.6,23.6
MI,Michigan,Antrim,26009,24409,20323,6.1,77.4,73.5,6.9,11.9,9.9,8.8,30.3,5.4,36.4,15.9,27.8,14.1,20.8
IA,Iowa,Lee,19111,32565,25623,7.8,74.6,62.9,7.8,13.8,11.0,10.0,31.2,5.8,37.5,18.6,21.6,18.0,26.1
KS,Kansas,Decatur,20039,2712,2127,8.7,73.0,60.4,6.8,11.6,10.6,9.4,30.2,5.5,37.3,16.4,21.7,15.1,24.7
VA,Virginia,Colonial Heights,51570,18393,13796,9.0,77.6,66.1,7.8,13.5,12.0,10.5,32.5,5.1,37.7,17.5,23.7,13.1,24.0
IL,Illinois,Grundy,17063,53578,40665,8.6,75.8,67.2,7.0,12.8,11.5,9.1,29.6,5.0,36.1,16.4,22.5,13.2,21.7
NC,North Carolina,Bertie,37015,16922,14112,13.8,80.0,50.9,14.6,28.7,22.2,14.9,42.7,6.8,43.4,26.2,23.0,19.2,31.8
KS,Kansas,Barber,20007,4071,3137,9.3,73.5,58.9,7.7,13.8,12.1,10.0,32.3,6.0,38.6,18.5,22.6,17.1,27.1
NY,New York,Columbia,36021,60470,51121,6.2,77.7,64.7,7.4,13.0,11.7,8.5,28.6,5.2,30.7,15.3,21.1,12.9,22.3
MI,Michigan,Wexford,26165,34122,26384,7.8,76.9,64.4,9.0,16.5,12.5,10.3,33.2,6.3,38.8,19.9,29.5,17.8,24.7
UT,Utah,Grand,49019,9706,7722,10.4,69.7,64.8,7.8,13.7,10.9,9.3,28.8,5.4,28.2,17.5,26.4,10.4,19.2
GA,Georgia,Talbot,13263,5718,4784,16.4,78.4,48.1,15.0,29.4,23.7,16.0,42.6,6.8,43.3,27.2,20.4,19.5,34.5
NY,New York,Hamilton,36041,5082,4455,6.2,77.8,60.1,7.7,13.4,12.1,8.5,29.5,5.5,30.8,16.1,22.2,14.2,23.7
KS,Kansas,Pawnee,20145,6126,5127,10.9,73.4,62.8,7.6,13.6,12.4,10.0,32.1,5.8,38.0,18.4,20.5,16.8,26.8
NC,North Carolina,Vance,37181,42301,32113,13.8,80.3,54.1,13.6,26.3,20.9,13.9,40.0,6.4,42.8,24.5,24.1,17.8,30.0
GA,Georgia,Jeff Davis,13161,14906,11152,19.3,74.7,47.0,13.3,26.2,19.8,14.4,37.8,7.3,40.4,27.4,22.9,20.9,34.8
CA,California,Solano,6095,449218,351690,9.4,70.6,61.3,9.3,17.1,15.0,10.5,30.0,4.9,31.2,20.3,19.9,11.3,24.3
KS,Kansas,Leavenworth,20103,83518,63836,8.7,74.7,66.0,6.6,10.9,10.8,9.6,30.2,5.2,39.5,15.5,21.3,13.6,22.5
AL,Alabama,Autauga,1001,60342,46253,9.1,79.4,61.9,8.9,17.0,13.2,11.4,38.2,5.6,39.5,20.0,25.9,14.5,26.0
ME,Maine,Androscoggin,23001,113765,90589,9.5,77.6,61.2,10.3,14.6,14.1,10.3,29.6,6.0,36.1,19.3,30.8,16.9,25.8
SC,South Carolina,Clarendon,45027,31004,25502,15.3,80.1,54.5,13.1,28.2,21.2,15.0,40.7,6.5,38.4,25.5,23.5,18.0,31.5
IN,Indiana,Tippecanoe,18157,188792,150623,8.8,78.9,60.0,8.0,15.0,11.9,11.6,33.5,6.1,30.8,19.5,23.8,15.2,22.6
ID,Idaho,Bannock,16005,90400,67958,10.2,73.6,64.4,8.3,14.7,11.6,9.1,29.8,5.5,33.4,18.3,25.2,13.3,21.7
IL,Illinois,Moultrie,17139,14342,10780,8.8,74.6,61.3,7.9,14.8,12.1,9.5,31.2,5.5,38.4,18.9,25.0,16.4,23.2
NM,New Mexico,Rio Arriba,35039,39876,30988,20.3,66.6,56.1,14.1,27.6,22.3,13.7,30.5,6.1,40.2,26.9,21.5,14.9,29.0
MI,Michigan,Oakland,26125,1270426,1015769,5.5,79.3,72.8,6.4,11.4,9.5,8.5,30.3,4.8,30.9,13.8,21.5,10.9,18.2
NC,North Carolina,New Hanover,37129,238852,197058,8.7,78.4,68.1,7.2,11.8,10.2,9.2,31.7,5.3,31.8,15.9,25.7,12.2,20.3
NC,North Carolina,Martin,37117,21447,17125,12.6,79.0,53.9,12.4,23.9,18.9,13.1,38.8,6.4,40.4,23.8,25.9,18.2,28.6
AK,Alaska,Northwest Arctic,2188,7361,4551,14.2,66.9,42.9,18.9,32.1,24.4,14.6,38.1,7.9,40.9,29.9,20.3,28.6,30.8
MO,Missouri,Mercer,29129,3469,2611,11.4,75.6,56.8,10.5,17.9,14.8,11.8,35.4,6.7,41.4,23.8,27.4,20.8,33.2
MO,Missouri,Montgomery,29139,11459,8974,10.2,75.2,54.1,9.5,15.9,13.5,10.9,34.0,6.3,37.1,22.3,26.6,19.9,31.6
NE,Nebraska,Franklin,31061,2825,2223,9.5,73.0,60.4,7.8,14.2,10.8,10.1,32.3,6.0,39.7,17.5,19.9,16.9,27.6
GA,Georgia,Lumpkin,13187,35258,29477,12.1,76.0,59.6,8.1,14.1,11.8,10.8,32.9,5.8,31.0,19.0,22.9,15.4,25.2
SC,South Carolina,York,45091,298320,228347,10.1,77.2,64.0,7.1,14.4,11.6,10.3,32.4,4.7,36.8,16.0,22.4,11.1,22.6
NY,New York,Livingston,36051,61158,50385,6.1,77.7,61.9,7.5,13.1,12.0,8.5,29.9,5.3,31.9,15.8,21.6,13.3,22.4
MD,Maryland,Carroll,24013,176639,137462,6.8,73.5,66.0,5.7,9.5,9.3,8.5,29.8,4.7,37.4,13.4,23.5,11.0,22.0
OH,Ohio,Hardin,39065,30368,23282,9.1,76.8,51.9,8.8,16.1,12.7,11.9,36.7,6.7,41.8,20.7,27.5,19.3,30.4
NV,Nevada,Clark,32003,2336573,1824661,15.7,72.3,56.8,10.9,19.6,17.5,11.1,32.0,5.5,31.2,21.8,20.6,14.8,26.5
GA,Georgia,Camden,13039,58118,44234,12.9,76.1,56.2,9.2,16.5,14.3,11.7,34.7,5.8,37.9,19.9,21.1,15.5,27.1
KS,Kansas,Seward,20175,21067,14437,25.1,72.5,52.8,11.4,24.5,21.1,13.6,32.2,6.2,43.4,26.0,17.6,15.4,38.1
AR,Arkansas,Prairie,5117,8036,6369,11.3,76.8,49.0,10.0,18.9,14.7,11.3,38.6,6.6,40.5,23.9,25.8,18.1,32.1
MD,Maryland,Queen Anne's,24035,52508,41602,7.3,74.0,64.4,6.3,10.9,10.2,8.8,31.6,4.9,29.2,14.7,23.9,11.9,19.3
GA,Georgia,Terrell,13273,8718,6786,18.4,78.6,45.7,17.4,33.7,26.7,17.3,43.8,7.4,44.1,30.5,20.4,21.9,37.9
LA,Louisiana,St. Bernard,22087,44463,33008,11.3,79.7,52.2,13.4,27.2,20.4,14.3,40.3,7.0,42.2,26.9,28.1,19.7,33.2
ID,Idaho,Lemhi,16059,8441,6904,10.1,70.5,63.4,7.7,13.3,11.0,8.6,29.1,5.6,30.6,17.0,24.6,14.3,23.2
IN,Indiana,Porter,18127,175335,138304,8.7,77.8,63.9,6.9,13.0,10.9,10.6,34.3,5.4,39.8,17.9,24.4,14.7,24.5
WI,Wisconsin,Iowa,55049,23956,18836,7.2,73.9,69.2,6.2,10.5,9.1,8.6,27.2,5.2,38.2,15.5,25.0,13.9,26.5
NC,North Carolina,Edgecombe,37065,48832,37653,13.7,79.9,53.9,14.3,27.8,22.0,14.3,41.5,6.6,43.8,25.5,23.9,18.4,31.7
OH,Ohio,Scioto,39145,71969,56470,9.8,78.9,54.0,10.2,19.2,14.2,12.9,39.3,7.3,44.7,23.7,30.4,21.4,34.5
VA,Virginia,Norton,51720,3492,2702,10.6,76.5,56.5,10.7,19.2,14.4,13.1,36.7,6.9,40.7,23.9,27.8,20.1,30.2
MO,Missouri,Webster,29225,41472,29983,10.0,75.7,58.9,9.2,15.2,13.1,10.6,33.9,6.4,41.5,22.0,26.8,19.5,30.1
MS,Mississippi,Attala,28007,17359,13015,12.7,80.3,7.5,13.7,25.9,20.3,13.9,43.1,6.5,43.0,25.1,19.9,18.8,35.5
AR,Arkansas,Benton,5007,311013,232841,11.0,78.0,62.8,7.3,13.2,11.3,9.8,31.7,5.3,35.1,18.8,23.8,11.6,25.4
